Konuşma No,Konuşma ID,LLM Topic,Manuel Topic,Match
1,9f1fad6e,düğün/mekan,düğün/mekan,True
2,9f1fb51c,düğün/mekan,düğün/mekan,True
3,9f1fb55f,kına/abiye,kına/abiye,True
4,9f1fc574,düğün/mekan,düğün/mekan,True
5,9f1fd866,other,other,True
6,9f1fda47,nişan/nişanlık,nişan/nişanlık,True
7,9f208c53,düğün,düğün,True
8,9f209ce4,mezuniyet/fotoğrafçı,mezuniyet/fotoğrafçı,True
9,9f20adf9,nişan/mekan,nişan,False
10,9f20b600,düğün/mekan,düğün/mekan,True
11,9f20bc62,düğün/mekan,düğün/mekan,True
12,9f20d064,balayı,balayı,True
13,9f211352,nişan,nişan,True
14,9f2120f9,nişan/organizasyon,nişan/organizasyon,True
15,9f216298,düğün,düğün,True
16,9f2163e4,düğün,düğün,True
17,9f2193d3,düğün,düğün,True
18,9f21967e,düğün,düğün,True
19,9f21d05d,other,other,True
20,9f21d0f2,düğün,düğün,True
21,9f227c7c,düğün/mekan,bekarlığa_veda/mekan,False
22,9f22e60c,düğün,düğün,True
23,9f22fd33,düğün,düğün,True
24,9f2300ed,düğün/mekan,düğün/mekan,True
25,9f23488b,mezuniyet/mekan,mezuniyet/mekan,True
26,9f2356ed,nişan,nişan,True
27,9f236564,düğün,balayı,False
28,9f239f9c,düğün/mekan,düğün/mekan,True
29,9f24180f,mezuniyet,mezuniyet,True
30,9f24d36d,düğün/mekan,nişan,False
31,9f24d47a,nişan,nişan,True
32,9f24e2a8,nişan,nişan,True
33,9f252c88,nişan/abiye,nişan/abiye,True
34,9f253790,düğün/abiye,düğün/abiye,True
35,9f255140,düğün/mekan,sünnet,False
36,9f25a4aa,düğün,düğün,True
37,9f25b85b,nişan,nişan,True
38,9f270cca,kına,kına,True
39,9f275d6c,kına/mekan,kına/mekan,True
40,9f275f9c,nikah/mekan,nikah/mekan,True
41,9f276569,nikah/mekan,nikah/mekan,True
42,9f2769b8,balayı,balayı,True
43,9f2792e9,düğün/organizasyon,düğün/organizasyon,True
44,9f27b3c9,sünnet/mekan,sünnet/mekan,True
45,9f27d8f1,düğün,sünnet,False
46,9f27fde7,düğün,düğün,True
47,9f27fe9a,kına,kına,True
48,9f287f40,düğün/mekan,düğün/mekan,True
49,9f28b012,düğün/abiye,düğün/abiye,True
50,9f28b667,düğün/mekan,düğün/mekan,True
