Konuşma No,Konuşma ID,İlk 2 User Mesajı,LLM Topic,LLM Sentiment,LLM Bot Answered,Manuel Topic,Manuel Sentiment,Manuel Bot Answered
1,9f1fad6e,Kına | Diyarbakır’da hem düğün hem kına,düğün/mekan,Nötr,Hayır,,,
2,9f1fb51c,Düğün | Adıyaman Kahta,düğün,Nötr,Hayır,,,
3,9f1fb55f,Kına | Abiye istiyorum,kına/abiye,Nötr,Hayır,,,
4,9f1fc574,Düğün | 2025.11.15,düğün,Nötr,Evet,,,
5,9f1fd866,Merbah | Şeşi,other,Nötr,Evet,,,
6,9f1fda47,Nişan | Nişanlık beğenmiştim de onu,nişan/nişanlık,Pozitif,Evet,,,
7,9f208c53,Düğün | 23.08.25 pastalı olcak 600 kişi,düğün,Nötr,Hayır,,,
8,9f209ce4,merhaba | okulumuzun mezuniyet töreni için fiyat almak istiyorum,mezuniyet,Nötr,Hayır,,,
9,9f20adf9,Nişan | Manisa Salihli 24 Haziran 2025 150 davetli,nişan,Nötr,Hayır,,,
10,9f20b600,19 ekim sünnet düğünü salonu | Kocaeli gebze,düğün/mekan,Nötr,Hayır,,,
11,9f20bc62,"Düğün | Gaziantep Şahinbey de bir mekan arıyoruz. 100-450 civarlarında davetlimiz olacak, tahmini düğün tarihimize daha var ama ben şimdiden araştırmak istiyorum. Hizmette ise;Mekan, organizasyon, içecekler ama alkol asla olmayacak, fotoğraf ve video çekimi ve kuru pasta gibi ikramların olduğu bir mekan arıyorum.. Anlıyorsunuz değil mi beni?",düğün/mekan,Nötr,Evet,,,
12,9f20d064,Kıyı bungalov | Balayı,balayı,Nötr,Hayır,,,
13,9f211352,27 09 2025 günü kız isteme ve nişan töreni  ortalama 120 kişilik | Hatay ili merkezde ikramlı kapalı alan,nişan,Nötr,Hayır,,,
